Material_ID,Name,Calorie,Protein,Lipids,Fiber,Carbohydrates,SaltContent
1157,こめ　［うるち米製品］　玄米粉,370,7.1,2.9,3.5,84.1,0
1158,こめ　［うるち米製品］　米粉,356,6,0.7,0.6,81.9,0
1211,こめ　［うるち米製品］　米粉パン　食パン,247,-10.7,-5.1,-0.7,-41.6,-1.1
1212,こめ　［うるち米製品］　米粉パン　ロールパン,256,-8.8,-6.7,-0.6,-42,-0.9
1159,こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,247,3.4,3.1,0.9,51.3,0.9
1160,こめ　［うるち米製品］　米粉めん,252,3.6,0.7,0.9,58.4,0.1
1115,こめ　［うるち米製品］　ビーフン,360,7,1.6,0.9,79.9,0
1169,こめ　［うるち米製品］　ライスペーパー,339,0.5,0.3,0.8,84.3,1.7
1116,こめ　［うるち米製品］　米こうじ,260,5.8,1.7,1.4,59.2,0
1117,こめ　［もち米製品］　もち,223,4,0.6,0.5,50.8,0
1118,こめ　［もち米製品］　赤飯,186,4.3,0.6,1.6,41.9,0
1119,こめ　［もち米製品］　あくまき,131,2.3,1.8,0.2,25.7,0
1120,こめ　［もち米製品］　白玉粉,347,6.3,1,0.5,80,0
1121,こめ　［もち米製品］　道明寺粉,349,7.1,0.7,0.7,80.4,0
1161,こめ　［その他］　米ぬか,374,13.4,19.6,20.5,48.8,0
1122,そば粉　全層粉,339,12,3.1,4.3,69.6,0
1123,そば粉　内層粉,342,6,1.6,1.8,77.6,0
1124,そば粉　中層粉,334,10.2,2.7,4.4,71.6,0
1125,そば粉　表層粉,337,15,3.6,7.1,65.1,0
1126,そば米,347,9.6,2.5,3.7,73.7,0
1127,そば　生,271,9.8,1.9,6,54.5,0
1128,そば　ゆで,130,4.8,1,2.9,26,0
1197,そば　半生そば,325,-10.5,-3.8,6.9,-61.8,0
1129,干しそば　乾,344,14,2.3,3.7,66.7,2.2
1130,干しそば　ゆで,113,4.8,0.7,1.5,22.1,0.1
1131,とうもろこし　玄穀　黄色種,341,8.6,5,9,70.6,0
1162,とうもろこし　玄穀　白色種,341,8.6,5,9,70.6,0
1132,とうもろこし　コーンミール　黄色種,375,8.3,4,8,72.4,0
1163,とうもろこし　コーンミール　白色種,375,8.3,4,8,72.4,0
1133,とうもろこし　コーングリッツ　黄色種,352,8.2,1,2.4,76.4,0
1164,とうもろこし　コーングリッツ　白色種,352,8.2,1,2.4,76.4,0
1134,とうもろこし　コーンフラワー　黄色種,347,6.6,2.8,1.7,76.1,0
1165,とうもろこし　コーンフラワー　白色種,347,6.6,2.8,1.7,76.1,0
1135,とうもろこし　ジャイアントコーン　フライ　味付け,409,5.7,11.8,10.5,76.6,1.1
1136,とうもろこし　ポップコーン,472,10.2,22.8,9.3,59.6,1.4
1137,とうもろこし　コーンフレーク,380,7.8,1.7,2.4,83.6,2.1
1138,はとむぎ　精白粒,353,13.3,1.3,0.6,72.2,0
1139,ひえ　精白粒,361,9.4,3.3,4.3,73.2,0
1140,もろこし　玄穀,344,10.3,4.7,9.7,71.1,0
1141,もろこし　精白粒,348,9.5,2.6,4.4,74.1,0
1142,ライむぎ　全粒粉,317,12.7,2.7,13.3,70.7,0
1143,ライむぎ　ライ麦粉,324,8.5,1.6,12.9,75.8,0
2068,アメリカほどいも　塊根　生,146,5.9,0.6,11.1,35.6,0
2069,アメリカほどいも　塊根　ゆで,144,6,0.8,8.4,34.5,0
2001,きくいも　塊茎　生,66,1.9,0.4,1.9,14.7,0
2041,きくいも　塊茎　水煮,51,1.6,0.5,2.1,11.3,0
2002,こんにゃく　精粉,194,3,0.1,79.9,85.3,0
2003,こんにゃく　板こんにゃく　精粉こんにゃく,5,0.1,Tr,2.2,2.3,0
2004,こんにゃく　板こんにゃく　生いもこんにゃく,8,0.1,0.1,3,3.3,0
2042,こんにゃく　赤こんにゃく,6,0.1,Tr,2.3,2.5,0
2043,こんにゃく　凍みこんにゃく　乾,192,3.3,1.4,71.3,77.1,0.1
2044,こんにゃく　凍みこんにゃく　ゆで,42,0.7,0.3,15.5,16.8,0
2005,こんにゃく　しらたき,7,0.2,Tr,2.9,3,0
2045,さつまいも　塊根　皮つき　生,127,0.9,0.5,2.8,33.1,0.1
2046,さつまいも　塊根　皮つき　蒸し,129,0.9,0.2,3.8,33.7,0.1
2047,さつまいも　塊根　皮つき　天ぷら,205,1.4,6.8,3.1,38.4,0.1
2006,さつまいも　塊根　皮なし　生,126,1.2,0.2,2.2,31.9,0
2007,さつまいも　塊根　皮なし　蒸し,131,1.2,0.2,2.3,31.9,0
2008,さつまいも　塊根　皮なし　焼き,151,1.4,0.2,3.5,39,0
2009,さつまいも　蒸し切干,277,3.1,0.6,5.9,71.9,0
2048,むらさきいも　塊根　皮なし　生,123,1.2,0.3,2.5,31.7,0.1
2049,むらさきいも　塊根　皮なし　蒸し,122,1.2,0.3,3,31.4,0.1
2010,さといも　球茎　生,53,1.5,0.1,2.3,13.1,0
2011,さといも　球茎　水煮,52,1.5,0.1,2.4,13.4,0
2012,さといも　球茎　冷凍,69,2.2,0.1,2,16.1,0
2050,セレベス　球茎　生,80,2.2,0.3,2.3,19.8,0
2051,セレベス　球茎　水煮,77,2.1,0.3,2.2,19.1,0
2052,たけのこいも　球茎　生,97,1.7,0.4,2.8,23.5,0
2053,たけのこいも　球茎　水煮,86,1.6,0.4,2.4,21.8,0
2013,みずいも　球茎　生,111,0.7,0.4,2.2,27.6,0
2014,みずいも　球茎　水煮,101,0.7,0.4,2.5,26.1,0
2015,やつがしら　球茎　生,94,3,0.7,2.8,20.5,0
2016,やつがしら　球茎　水煮,92,2.7,0.6,2.8,20,0
2063,じゃがいも　塊茎　皮つき　生,51,1.8,0.1,9.8,15.9,0
2064,じゃがいも　塊茎　皮つき　電子レンジ調理,78,2.1,0.2,3.9,19.2,0
2065,じゃがいも　塊茎　皮つき　フライドポテト　（生を揚げたもの）,153,2.7,5.6,4.3,25.4,0
2017,じゃがいも　塊茎　皮なし　生,59,1.8,0.1,8.9,17.3,0
2019,じゃがいも　塊茎　皮なし　水煮,71,1.7,0.1,3.1,16.9,0
2018,じゃがいも　塊茎　皮なし　蒸し,76,1.9,0.3,3.5,18.1,0
2066,じゃがいも　塊茎　皮なし　電子レンジ調理,78,1.9,0.1,3.5,19,0
2067,じゃがいも　塊茎　皮なし　フライドポテト　（生を揚げたもの）,159,2.7,5.9,3.9,26.2,0
2020,じゃがいも　塊茎　皮なし　フライドポテト　（市販冷凍食品を揚げたもの）,229,2.9,10.6,3.1,32.4,0
2021,じゃがいも　乾燥マッシュポテト,347,6.6,0.6,6.6,82.8,0.2
2054,ヤーコン　塊根　生,52,0.6,0.3,1.1,12.4,0
2055,ヤーコン　塊根　水煮,42,0.6,0.3,1.2,9.9,0
2022,ながいも　いちょういも　塊根　生,108,4.5,0.5,1.4,22.6,0
2023,ながいも　ながいも　塊根　生,64,2.2,0.3,1,13.9,0
2024,ながいも　ながいも　塊根　水煮,58,2,0.3,1.4,12.6,0
2025,ながいも　やまといも　塊根　生,119,4.5,0.2,2.5,27.1,0
2026,じねんじょ　塊根　生,118,2.8,0.7,2,26.7,0
2027,だいじょ　塊根　生,102,2.6,0.1,2.2,25,0.1
2070,おおうばゆりでん粉,327,0.1,0.1,0.8,83.6,0
2028,キャッサバでん粉,354,0.1,0.2,0,85.3,0
2029,くずでん粉,356,0.2,0.2,0,85.6,0
2030,米でん粉,375,0.2,0.7,0,89.3,0
2031,小麦でん粉,360,0.2,0.5,0,86,0
2032,サゴでん粉,357,0.1,0.2,0,86.1,0
2033,さつまいもでん粉,340,0.1,0.2,0,82,0
2034,じゃがいもでん粉,338,0.1,0.1,0,81.6,0
2035,とうもろこしでん粉,363,0.1,0.7,0,86.3,0
2036,くずきり　乾,341,0.2,0.2,0.9,87.7,0
2037,くずきり　ゆで,133,0.1,0.1,0.8,33.3,0
2056,ごま豆腐,75,1.5,4.3,1,9.1,0
2038,タピオカパール　乾,352,0,0.2,0.5,87.8,0
2057,タピオカパール　ゆで,61,0,Tr,0.2,15.4,0
2058,でん粉めん　生,129,0.1,0.2,0.8,32.2,0
2059,でん粉めん　乾,347,0.2,0.3,1.8,86.7,0.1
2060,でん粉めん　乾　ゆで,83,0,0.2,0.6,20.6,0
2039,はるさめ　緑豆はるさめ　乾,344,0.2,0.4,4.1,87.5,0
2061,はるさめ　緑豆はるさめ　ゆで,78,Tr,0.1,1.5,20.6,0
2040,はるさめ　普通はるさめ　乾,346,0,0.2,1.2,86.6,0
2062,はるさめ　普通はるさめ　ゆで,76,0,Tr,0.8,19.9,0
3001,黒砂糖,352,1.7,Tr,0,90.3,0.1
3030,てんさい含蜜糖,357,0.9,Tr,8.3,96.9,0.1
3002,和三盆糖,393,0.2,Tr,0,99,0
